epoch,train_loss,train_error,valid_loss,valid_error,test_error
001,1.197152,0.317778,0.75928,0.26000,
002,0.191809,0.082222,0.47048,0.24000,
003,0.110819,0.015556,0.43893,0.24000,
004,0.074468,0.008889,0.47842,0.22000,
005,0.029176,0.002222,0.52163,0.20000,
006,0.022017,0.000000,0.51823,0.20000,
007,0.022169,0.002222,0.51355,0.20000,
008,0.019279,0.000000,0.51335,0.20000,
009,0.021479,0.000000,0.51742,0.20000,
