epoch,train_loss,train_error,valid_loss,valid_error,test_error
001,4.724379,1.000000,3.49699,1.00000,
002,1.294854,1.000000,1.53710,1.00000,
003,0.040213,0.000000,0.83104,1.00000,
004,0.006168,0.000000,0.41216,0.00000,
005,0.001534,0.000000,0.20518,0.00000,
006,0.000641,0.000000,0.26396,0.00000,
007,0.000592,0.000000,0.33136,0.00000,
008,0.000552,0.000000,0.42185,0.00000,
009,0.000518,0.000000,0.57025,0.00000,
010,0.000515,0.000000,0.74665,1.00000,
