epoch,train_loss,train_error,valid_loss,valid_error,test_error
001,0.232370,0.092053,0.22180,0.09040,
002,0.148201,0.055126,0.24983,0.09880,
003,0.092317,0.034202,0.31238,0.10080,
004,0.073097,0.027413,0.39995,0.11980,
005,0.030670,0.009954,0.30752,0.08760,
